County,Candidate,Party
ALBA,DÎRLĂU ANDREI-EMIL,ALIANȚA PENTRU UNIREA ROMÂNILOR
ALBA,CRIȘAN CRISTIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
ALBA,HĂBEAN ANTONIU-SORIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
ALBA,DUP VANESA-ARUNA,ALIANȚA PENTRU UNIREA ROMÂNILOR
ALBA,GOREA-COSTIN IULIA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
ALBA,IEREMIA CRISTIAN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
ALBA,DASCĂLU VASILICA-MONICA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
ALBA,BARDOȘ ALINA-DELIA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
ALBA,IONESCU LIVIU-MIHAIL,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
ALBA,PETRINA LIVIU,FORȚA DREPTEI
ALBA,LUCA ROMULUS,FORȚA DREPTEI
ALBA,FLOREA IULIANA,FORȚA DREPTEI
ALBA,VOIȘAN ANA-MARIA,PARTIDUL ECOLOGIST ROMÂN
ALBA,HAȚEGAN MARIUS-ADRIAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ALBA,BUTUC ADRIAN-EMANUEL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ALBA,LĂPĂDUȘ DIANA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ALBA,BERINDEIE RADU-VASILE,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ALBA,RĂCUCI CLAUDIU-VASILE,PARTIDUL NAȚIONAL LIBERAL
ALBA,ROTAR CORINA,PARTIDUL NAȚIONAL LIBERAL
ALBA,COSTEA CRISTIAN-VASILE,PARTIDUL NAȚIONAL LIBERAL
ALBA,ROCA MANUELA-LUMINIȚA,PARTIDUL NOUA ROMÂNIE
ALBA,BARNA ANDREI,PARTIDUL OAMENILOR TINERI
ALBA,POENARIU FELICIA,PARTIDUL OAMENILOR TINERI
ALBA,BORCAN GEORGE-ADRIAN,PARTIDUL OAMENILOR TINERI
ALBA,PĂDUREAN CĂLIN-LIVIU,PARTIDUL PHRALIPE AL ROMILOR
ALBA,ȚOC IONEL,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
ALBA,PETRE MARIAN,PARTIDUL REPUBLICAN DIN ROMÂNIA
ALBA,TECȘA NICOLETA,PARTIDUL REPUBLICAN DIN ROMÂNIA
ALBA,BUCUR CONSTANTIN,PARTIDUL REPUBLICAN DIN ROMÂNIA
ALBA,DUMITRU GHEORGHE,PARTIDUL REPUBLICAN DIN ROMÂNIA
ALBA,ȘUTEU CODRUȚA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,MĂRCUȘ IOAN-MIHAI,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,BĂDILĂ CIPRIAN-TUDOR,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,UDREA VLAD-SEBASTIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,MUREȘAN CORNELIU,PARTIDUL SOCIAL DEMOCRAT
ALBA,TODOSIU BENIAMIN,PARTIDUL SOCIAL DEMOCRAT
ALBA,SANISLAV MARIA,PARTIDUL SOCIAL DEMOCRAT
ALBA,RUSU OCTAVIAN-HORAȚIU,PARTIDUL SOCIAL DEMOCRAT
ALBA,CHIVU IULIAN-COSMIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ALBA,CORODEANU MARIA-MARTA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ALBA,BARBU MAGDALENA-ANCA,PARTIDUL SOCIAL DEMOCRAT UNIT
ALBA,CORCHEȘ DOREL-VALER,PARTIDUL S.O.S. ROMÂNIA
ALBA,POPA IOAN,PARTIDUL S.O.S. ROMÂNIA
ALBA,NICOLA LUCREȚIA,PARTIDUL S.O.S. ROMÂNIA
